name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance
Romance of the Three KingdomsVII with Power Up Kit / VII with ,13,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1838,1575,0,1.33,-1,0,-1
,,,,,,,,,,
Swordbreaker The Game,59,DuCats Games Studio,DuCats Games Studio,30983,19430,0,5.95,42,48.6,0.17
,,,,,,,,,,
Containment Corps,,Nimbus Interactive,Nimbus Interactive,3125,0,0,0,-1,0,-1
,,,,,,,,,,
Detached,51,Anshar Studios,Anshar Studios,7877,6302,0,4.74,50,95.2,86.53
,,,,,,,,,,
Closers,42,Naddic Games,En Masse Entertainment,210053,160691,40173,3.66,-1,0,-1
,,,,,,,,,,
Bounce Ball,,SP Digital Arts Inc.,SP Digital Arts Inc.,1184,784,0,0,44,72,0
,,,,,,,,,,
I Hate Santa,100,VirtualRock VR,VirtualRock VR,4432,781,0,9,226,84,0.5
,,,,,,,,,,
Eyestorm,23,3Crew,3Crew,795,0,0,2,410,61,0
,,,,,,,,,,
Distance,89,Refract,Refract,143376,132948,3650,16.69,43,69.06,30.08
,,,,,,,,,,
Romance of the Three KingdomsVI with Power Up Kit / VI with ,,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1575,1313,0,0,-1,0,-1
,,,,,,,,,,
The Guild II Renaissance,47,Rune Forge,THQ Nordic,465530,280684,7089,4.22,43,62.17,392.33
,,,,,,,,,,
HACK_IT,1,Dan_D,Dan_D,3413,2626,0,0.31,231,83.8,127.01
,,,,,,,,,,
Bush Hockey League,19,V7 Entertainment Inc.,V7 Entertainment Inc.,2101,2101,0,1.72,226,0,-1
,,,,,,,,,,
Call of Nightmare,,NightmaresGames,NightmaresGames,1589,0,0,0,119,0,-1
,,,,,,,,,,
True Bliss,6,Artur Mandas,KISS ltd,94524,5514,1578,0.79,110,46.74,34.86
,,,,,,,,,,
Tengutana,,BartoÁ Studio,BartoÁ Studio,2085,784,0,0,35,58,0
,,,,,,,,,,
Zombie Shooter,62,Sigma Team Inc.,Sigma Team Inc.,132948,49790,778,6.46,45,172.77,1634.51
,,,,,,,,,,
Toxic Bunny HD,1,Celestial Games,Celestial Games,13556,8342,0,0.3,1301,0,-1
,,,,,,,,,,
Theatre of War 2: Africa 1943,23,1C Company,1C Company,120781,37810,1050,1.97,79,95.44,73.16
,,,,,,,,,,
Dungeon Shooter 2,,Rabid Design Studios,Rabid Design Studios,795,0,0,0.33,231,234,2401
,,,,,,,,,,
Ninja Smasher!,49,Q-Cumber Factory,Q-Cumber Factory,795,0,0,4.5,79,121,2700
,,,,,,,,,,
Shout Of Survival,,Hako Games,Hako Games,790,790,0,1,144,109.67,1648.93
,,,,,,,,,,
Transformers: Fall of Cybertron,86,Mercenary Technologies,Activision,216628,174136,2342,13.57,150,44.87,47.13
,,,,,,,,,,
Heroes of Loot 2,67,Orangepixel,Orangepixel,6564,3938,785,7.5,45,73.6,175.23
,,,,,,,,,,
Hive Jump,53,Graphite Lab,Graphite Lab,10949,8342,781,5.16,49,65.33,208.07
,,,,,,,,,,
Infected: The Twin Vaccine - Collector's Edition,,Gogii Games,MumboJumbo,38597,7877,0,3.56,970,67,22.5
,,,,,,,,,,
The Men of Yoshiwara: Ohgiya,71,Dogenzaka Lab,Dogenzaka Lab,10240,6564,1050,8.7,42,76.5,488.28
,,,,,,,,,,
Super Dungeon Master,37,Dave Gumble,Dave Gumble,3938,1838,795,3,-1,0,-1
,,,,,,,,,,
BRINK,14,Splash Damage,Bethesda Softworks,1275522,906134,12513,1.42,-1,0,-1
,,,,,,,,,,
OVIVO,89,IzHard,IzHard,9190,3676,789,16,18,42.5,0.04
,,,,,,,,,,
Alien Hallway,16,Sigma Team Inc.,Sigma Team Inc.,49100,13391,0,1.54,79,208.18,1144.07
,,,,,,,,,,
Galactic Civilizations III,39,Stardock Entertainment,Stardock Entertainment,597339,403827,11290,3.23,48,45.33,127.47
,,,,,,,,,,
Rocket Wars,,Archon Interactive,Rooftop Panda,3650,2346,0,0,80,54,243
,,,,,,,,,,
Defend Felinearth,28,Sixth Line Studios,Sixth Line Studios,2384,1589,0,2.33,108,126,1444
,,,,,,,,,,
World Circuit Boxing,,J3I Games,J3I Games,1589,795,795,0,-1,0,-1
,,,,,,,,,,
Dwarfs!?,42,Power of 2,Tripwire Interactive,343700,162529,1568,3.71,42,100.75,79.75
,,,,,,,,,,
Little Kite,74,Anate Studio,Anate Studio,32821,30720,2101,9.5,36,73,0
,,,,,,,,,,
Atlantis: Pearls of the Deep,30,Alder Games,Legacy Games,5514,3676,0,2.5,18,62.75,51.26
,,,,,,,,,,
Rugby League Team Manager 2015,23,Alternative Software Ltd,Alternative Software Ltd,5251,5251,0,2,358,74.88,129
,,,,,,,,,,
Tales Runner,8,Rhaon Entertainment,OGPlanet,303956,122260,784,0.99,-1,0,-1
,,,,,,,,,,
Heroes of Hammerwatch,,Crackshell,Crackshell,789,789,795,0,-1,0,-1
,,,,,,,,,,
S.T.A.L.K.E.R.: Clear Sky,59,GSC Game World,GSC World Publishing,891014,434298,12252,6.08,43,73.62,164.82
,,,,,,,,,,
Indiana Jones and the Last Crusade,40,LucasArts,"LucasArts, Lucasfilm, Disney Interactive",129970,58815,0,3.43,54,159.56,50.54
,,,,,,,,,,
Terminal Hacker,12,Lord_Loej,Lord_Loej,26257,14966,784,1.27,-1,0,-1
,,,,,,,,,,
Drawful 2,65,"Jackbox Games, Inc.","Jackbox Games, Inc.",121306,90585,6039,7.27,43,78.2,504.01
,,,,,,,,,,
The Counting Kingdom,97,Little Worlds Interactive,Little Worlds Interactive,15491,5776,0,42,1068,55,841
,,,,,,,,,,
Attack of the Labyrinth +,21,Timedrop Studios,Timedrop Studios,7820,3910,778,1.83,-1,0,-1
,,,,,,,,,,
InFlux,28,Impromptu Games,Impromptu Games,46737,29670,795,2.35,110,67.77,0.23
,,,,,,,,,,
Flat Path,97,GooDCrafter,GooDCrafter,32558,29407,784,48,45,80.2,544.97
,,,,,,,,,,
Acan's Call: Act 1,56,Cyberith GmbH,Cyberith GmbH,61521,29718,3110,5.52,-1,0,-1
,,,,,,,,,,
Alwa's Awakening,71,Elden Pixels,Elden Pixels,6564,4989,784,8.68,12,38,9.14
,,,,,,,,,,
Oik Memory,78,Dr_Crewcut,Dr.Crewcut,1838,0,0,10.33,12,30,0
,,,,,,,,,,
Dice Tower Defense,40,Educational Games,Educational Games,1313,1568,0,3.44,47,32,18
,,,,,,,,,,
Z Steel Soldiers,10,TickTock Games,"KISS ltd, Kavcom",76407,43849,1589,1.11,88,46.04,15.33
,,,,,,,,,,
CarX Drift Racing Online,78,CarX Technologies,CarX Technologies,52513,51726,19430,10.13,43,0,-1
,,,,,,,,,,
Undead Hunter,,Gameplay Ltd.,Gameplay Ltd.,25286,23722,784,0,108,77,0
,,,,,,,,,,
Tetropunk,,"_Árazy Creator, Rosyaev",Rosyaev,795,0,0,0,19,0,-1
,,,,,,,,,,
Devil May Cry 4 Special Edition,78,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd. ",332110,228880,10167,10.65,43,54.93,1.03
,,,,,,,,,,
Castle of Shikigami ,71,"Cosmo Machia, Alfa System",Degica,2346,1825,0,8.33,44,39.8,985.61
,,,,,,,,,,
JCB Pioneer: Mars,13,Atomicom,GamesCo,4953,4432,778,1.31,111,56,0
,,,,,,,,,,
Commandos 3: Destination Berlin,17,Pyro Studios,Merge Games,612866,205157,2868,1.57,108,63.76,4.4
,,,,,,,,,,
Wonky Pigeon!,0,Carlotta Tatti,Carlotta Tatti,9645,1564,0,0.22,775,69,544.5
,,,,,,,,,,
Janken Cards,65,GKT Studios Entertainment,GKT Studios Entertainment,8927,785,0,7,107,67.2,247.81
,,,,,,,,,,
Grav Grav Gravity,78,FlashBack media,Atriagames,4989,784,785,11.33,98,0,-1
,,,,,,,,,,
Tomb Raider I,56,Core Design,Square Enix,774489,278670,2868,5.27,43,38.81,14.17
,,,,,,,,,,
Yanone: Letter Splatter,,Zombie Soup,Zombie Soup,1589,0,0,0,-1,0,-1
,,,,,,,,,,
Khan: Absolute Power,9,Mirinae,Blaze Gamers,89273,33871,1313,1.07,-1,0,-1
,,,,,,,,,,
Sid Meier's Civilization III Complete,65,Firaxis Games,2K Games,2419813,685824,27569,7.2,43,41.1,348.07
,,,,,,,,,,
Golden Swords,8,Vlad K.,AEY Inc. ,151501,109753,0,0.97,113,51.57,22.07
,,,,,,,,,,
Three Twenty One,15,"MWC, David J. Franco",MWC,7352,2101,0,1.46,-1,0,-1
,,,,,,,,,,
"Warhammer 40,000: Dawn of War II: Retribution",78,"Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)",1905971,1369810,23631,10.56,-1,0,-1
,,,,,,,,,,
ABZU,82,Giant Squid,505 Games,671780,462973,12252,12.73,24,44.17,36.17
,,,,,,,,,,
Protocol,0,Prototype Games,Prototype Games,13816,782,0,0.1,899,0,-1
,,,,,,,,,,
Zombie Army Trilogy,65,Rebellion,Rebellion,723656,621207,18769,6.79,43,50.11,21.27
,,,,,,,,,,
Dante's Forest,100,zale15droid,Zale Bush,795,0,0,2,450,0,-1
,,,,,,,,,,
Sacred 3,1,Keen Games,Deep Silver,328982,168923,3136,0.32,123,67.62,70.67
,,,,,,,,,,
Call of Cthulhu: Prisoner of Ice,31,Infogrames,Atari,6302,2101,0,2.57,106,99.71,797.46
,,,,,,,,,,
Close Combat - Panthers in the Fog,18,Matrix Games,Slitherine Ltd.,11815,5776,0,1.65,108,112,924.5
,,,,,,,,,,
Mystery Maze Of Balthasar Castle,,"Mack Media, Caipirinha Games, DevQ1",Libredia,2363,1313,0,0.6,108,155.75,3234.77
,,,,,,,,,,
Triblaster,2,"oeFun, Inc.","oeFun, Inc.",7877,795,0,0.47,969,113.5,253.12
,,,,,,,,,,
Bunker Constructor,16,Tindalos Interactive,Headup Games,3413,785,0,1.5,231,74,420.25
,,,,,,,,,,
Dungeon Lurk II - Leona,2,Keys of Nine Entertainment,Keys of Nine Entertainment,11815,788,0,0.48,735,221,19800.5
,,,,,,,,,,
Monsterland,95,Second Variety Games,Second Variety Games,8342,1561,0,25,736,27.5,78.12
,,,,,,,,,,
Valhall 2000,,Simen Skogly Russnes,Simen Skogly Russnes,785,785,0,0,-1,0,-1
,,,,,,,,,,
Train Sim World: CSX Heavy Haul,22,Dovetail Games,Dovetail Games - Trains,59603,56714,13391,1.92,107,119,112.5
,,,,,,,,,,
Robot's Mystery,,"Tomer Caner, Nitay Parnes",Indie,795,0,0,0,-1,0,-1
,,,,,,,,,,
Light Bound,92,Garden Knight Games,Garden Knight Games,9906,6778,0,19,410,112,627.2
,,,,,,,,,,
Frizzy,,Team Frizz,Team Frizz,7820,1171,0,2.25,779,73,0
,,,,,,,,,,
Runt of the Litter,42,Choice of Games,Choice of Games,3676,2626,785,3.56,107,122.5,0.12
,,,,,,,,,,
Jagged Alliance 2 Gold,,Strategy First,Strategy First,76144,50413,785,0,-1,0,-1
,,,,,,,,,,
Confess My Love,89,LR Studio,LR Studio,207690,157015,4201,17.9,-1,0,-1
,,,,,,,,,,
Anicon - Animal Complex - Cat's Path,74,Zeiva Inc,Zeiva Inc,1050,785,0,10,44,79,0
,,,,,,,,,,
Venusian Vengeance,53,Renegade Sector Games,Renegade Sector Games,11470,7038,0,5.17,44,53.11,35.29
,,,,,,,,,,
Quadrant M4,1,G.Malta,VRS,8927,2764,0,0.28,108,76,112.5
,,,,,,,,,,
Drive Megapolis,4,npp_trainer,Back To Basics Gaming,291711,244975,1961,0.65,108,71.5,5.04
,,,,,,,,,,
Chill the Piro,65,"Sergey Marchenko, Vyacheslav Ozolnieks",Sergey Marchenko,28154,26850,0,7,12,101.33,244.91
,,,,,,,,,,
Fighties,53,PillowPigGames,PillowPigGames,19030,16162,778,5.19,42,145.6,2064.51
,,,,,,,,,,
Music Inside: A VR Rhythm Game,30,Reality Reflection,Reality Reflection,2888,1313,0,2.47,106,65,768.8
,,,,,,,,,,
Holiday Simulator : Wacky Sleigh Ride,,Hyperator VR innovation Labs,Hyperator VR Innovation Labs,795,0,0,0,-1,0,-1
,,,,,,,,,,
Brushwood Buddies,40,Steven Colling,Steven Colling,12341,8402,0,3.38,18,83.8,691.49
,,,,,,,,,,
PEG,100,Arzola's,Arzola's,4201,2369,2384,35,25,22.75,8.27
,,,,,,,,,,
Immortal Defense,89,Studio Eres,Studio Eres,6827,5514,795,16.33,42,60.07,48.02
,,,,,,,,,,
Les Fleursword,15,MagicHouse,SakuraGame,8665,4726,790,1.48,95,74,0
,,,,,,,,,,
Blade & Bones,9,Coffee Addict Studio,Coffee Addict Studio,8081,6517,785,1.03,112,63.6,3.87
,,,,,,,,,,
Ittle Dew 2,59,Ludosity,"Nicalis, Inc.",2346,1825,0,5.94,43,91.25,2150.64
,,,,,,,,,,
BalanCity,39,Fernando Cordoba,,33346,18642,2101,3.34,60,45.55,9.94
,,,,,,,,,,
Shin Samurai Jazz,18,Blaze Epic,Blaze Epic,19030,2868,784,1.67,231,162.4,829.47
,,,,,,,,,,
Crash Time 3,40,Synetic,Kalypso Media Digital,30500,17466,0,3.54,50,91.04,335.79
,,,,,,,,,,
Command & Conquer 4: Tiberian Twilight,0,EA Los Angeles,Electronic Arts,341599,234997,1313,0.24,108,58,58.14
,,,,,,,,,,
Serafina's Crown,28,Woodsy Studio,Thesis Games,29145,19430,0,2.44,107,197,2465.33
,,,,,,,,,,
Tempest: Pirate Action RPG,33,Lion's Shade,HeroCraft,190299,105316,6778,2.82,24,55.07,87.86
,,,,,,,,,,
MobileZombie,13,YIMING ZHANG,YIMING ZHANG,6827,2626,795,1.27,-1,0,-1
,,,,,,,,,,
Stacks TNT,,Funcraft Games,Funcraft Games,10167,778,0,0.75,773,29,220.5
,,,,,,,,,,
Burgers,5,storm_sharks,storm_sharks,115743,86286,0,0.78,410,50.6,70.76
,,,,,,,,,,
Inescapable,4,Magnetic Realms,Magnetic Realms,15120,3389,0,0.68,969,193.5,13203.12
,,,,,,,,,,
Star Rangers VR - Free Demo,18,"Project Whitecard Studios Inc., Xefier Games Inc.","Awestruck Games, EvolVR Games Ltd.",11815,5776,0,1.67,-1,0,-1
,,,,,,,,,,
Color Jumper,,Tallbeard Studios LLC,Tallbeard Studios LLC,795,795,0,0,-1,0,-1
,,,,,,,,,,
Ravensword: Shadowlands,7,Crescent Moon Games,Crescent Moon Games,179350,26068,0,0.91,110,236.5,11223.38
,,,,,,,,,,
Zaba The Frog,,gameko-studio,gameko-studio,795,0,0,0,106,0,-1
,,,,,,,,,,
We Are Chicago,4,Culture Shock Games LLC,Culture Shock Games LLC,1313,1176,0,0.62,365,0,-1
,,,,,,,,,,
BorderZone,3,"Saturn-plus, Orion",1C Company,19551,15120,0,0.61,231,105.36,203.94
,,,,,,,,,,
The Legend: A University Story,23,Austin Handle,Howling Legend Studios,4953,0,0,2,-1,0,-1
,,,,,,,,,,
"Ortus Arena, strategy board game online",100,Firebrush Studios,Plug In Digital,19692,2101,0,11,55,112.25,172.27
,,,,,,,,,,
Cublast HD,,ThinkFast Studio,ThinkFast Studio,7614,5514,785,0,43,124.5,2278.12
,,,,,,,,,,
YOU DON'T KNOW JACK Vol. 4 The Ride,59,"Jackbox Games, Inc.","Jackbox Games, Inc.",79558,14179,785,5.75,43,106.21,506.57
,,,,,,,,,,
Final Rest,,Slipgate Studios,Slipgate Studios,1184,0,0,0,140,78,0
,,,,,,,,,,
Hereafter,47,"Micah Brown, Benjamin Brown",Nathan Brown,5214,2346,785,4.25,-1,0,-1
,,,,,,,,,,
McOsu,74,McKay,McKay,147825,130496,13128,9.07,-1,0,-1
,,,,,,,,,,
Tapocalypse,27,BEta - indie,Atriagames,30458,28620,0,2.24,86,110.67,5925.93
,,,,,,,,,,
Dream Quest,95,Peter Whalen,Peter Whalen,2363,2363,785,27.67,44,90,1860.5
,,,,,,,,,,
12 Labours of Hercules IV: Mother Nature (Platinum Edition),65,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,42536,33083,784,7.31,42,68.3,24.65
,,,,,,,,,,
Torchlight II,89,Runic Games,Runic Games,3653211,3303374,52397,18.31,43,32.47,14.22
,,,,,,,,,,
Arma Tactics,2,Bohemia Interactive,Bohemia Interactive,335560,98988,1313,0.5,146,60.71,4.41
,,,,,,,,,,
Rayon Riddles - Rise of the Goblin King,100,Lost The Game Studios,bitComposer Interactive GmbH,1973,789,0,7,80,76,231.2
,,,,,,,,,,
Ball 3D: Soccer Online,40,Unusualsoft,Unusualsoft,450039,397263,12078,3.37,-1,0,-1
,,,,,,,,,,
Dark Raid,1,Vector Games,Vector Games,21115,1564,0,0.31,775,69.75,500.07
,,,,,,,,,,
Robert Mensah's Sins Of The Father,,Robert Ayodele Mensah,Robert Ayodele Mensah,1589,0,0,0,-1,0,-1
,,,,,,,,,,
Green Moon 2,23,Hooligans Entertainment,Hooligans Entertainment,789,784,0,2,-1,0,-1
,,,,,,,,,,
LEGO Indiana Jones 2: The Adventure Continues,35,Traveller's Tales,"LucasArts, Lucasfilm, Disney Interactive",58027,26519,1575,2.9,49,127.85,186.97
,,,,,,,,,,
Hot Squat,95,Bean Boy Games,Bean Boy Games,15491,5251,1570,25,-1,0,-1
,,,,,,,,,,
Bitslap,100,Comrex AG,Comrex AG,1579,1579,0,18,42,115,600.25
,,,,,,,,,,
The Clans - Saga of the Twins,3,Supreme Clans Entertainment,Supreme Clans Entertainment,30195,14179,795,0.57,110,54.06,0.25
,,,,,,,,,,
Oncoming Death Steam Edition,3,"David Vogt, Christoph Winkler",Shit-Happens-Software,795,0,0,0.6,413,213,11704.5
,,,,,,,,,,
Warbanners,51,Crasleen Games,Crasleen Games,7877,5776,2363,4.86,23,46.5,325.12
,,,,,,,,,,
Stellar Overload,51,Cubical Drift,Cubical Drift,31771,27044,795,4.88,43,72.5,145.04
,,,,,,,,,,
Cyber City 2157: The Visual Novel,13,Harotobira,Sometimes You,223182,187210,2352,1.33,410,121,2178
,,,,,,,,,,
LEGO Batman,51,Traveller's Tales,Warner Bros. Interactive Entertainment,271371,169444,4171,4.56,44,52.06,49.12
,,,,,,,,,,
Skyhook,71,Megastorm Games,Megastorm Games,3128,1825,0,8.57,80,89.2,574.56
,,,,,,,,,,
Sim Junta,3,Icehole Games,Strategy First,3938,1973,0,0.57,108,100.25,0.01
,,,,,,,,,,
The Walking Vegetables,92,Still Running,"Merge Games, Tagstar Games",1176,785,785,21.5,17,39,96.33
,,,,,,,,,,
Pimp Tight,,"Cracked Piston, RF",CP,795,0,0,0,347,0,-1
,,,,,,,,,,
Guns of Icarus Alliance,51,Muse Games,Muse Games,135034,49269,3650,4.69,43,47,73.5
,,,,,,,,,,
Dangerous Games: Prisoners of Destiny Collector's Edition,,Blam! Games,Big Fish Games,795,0,0,0,-1,0,-1
,,,,,,,,,,
Caromble!,67,Crimson Owl Studios,Crimson Owl Studios,6256,781,0,8,80,76.4,570.31
,,,,,,,,,,
Fumiko!,100,Fumiko Game Studio,Fumiko Game Studio,1313,789,0,26,43,63.4,913.95
,,,,,,,,,,
Fractal Space,,Haze Games,,2085,0,0,0,-1,0,-1
,,,,,,,,,,
MiG-29 Fulcrum,51,NovaLogic,"NovaLogic, THQ Nordic",22581,5251,0,4.6,80,132.95,159.52
,,,,,,,,,,
1942: The Pacific Air War,19,"MicroProse Software, Inc","Retroism, Nightdive Studios",6039,1838,0,1.75,99,59.31,11.71
,,,,,,,,,,
Hairy Little Buggers,15,Michael Todd Games,Michael Todd Games,2626,1838,0,1.44,137,121,682.67
,,,,,,,,,,
El Ministerio del Tiempo VR: El tiempo en tus manos,,Future Lighthouse,RTVE,2626,795,0,0,-1,0,-1
,,,,,,,,,,
Holobunnies: Pause Cafe,,q-bit Games,Nkidu Games Inc.,1961,784,0,0,79,62.75,310.64
,,,,,,,,,,
Ironcast,49,Dreadbit,Ripstone,28095,27307,1589,4.31,79,74.77,0.38
,,,,,,,,,,
Disparity,,tamationgames,tamationgames,790,0,0,0,-1,0,-1
,,,,,,,,,,
Battle Chef Brigade,97,Trinket Studios,Adult Swim Games,13034,11731,1564,44.25,-1,0,-1
,,,,,,,,,,
Bleeding Border,12,Curse Box Studios,Curse Box Studios,24244,15380,1303,1.25,125,137.8,2918.53
,,,,,,,,,,
Attack Heroes,27,Ejoy Games,Ejoy Games,5251,4989,784,2.31,288,94.25,2220.77
,,,,,,,,,,
The Stargazers,4,Lupiesoft,MangaGamer,795,795,0,0.67,110,119.33,237.04
,,,,,,,,,,
Cinders,71,MoaCube,MoaCube,58815,34396,795,8.27,43,66.45,13.53
,,,,,,,,,,
Glorch's Great Escape: Walking is for Chumps,,"Warrior General Games, LLC","Warrior General Games, LLC",4432,0,0,0,110,121,0
,,,,,,,,,,
Swords and Soldiers HD,65,Ronimo Games,Ronimo Games,259416,138373,1589,7.23,42,88.72,158.16
,,,,,,,,,,
(Tale of Wuxia),47,Heluo Studio,Fenghuang Game,63804,62228,3938,4.17,651,0,-1
,,,,,,,,,,
Candy Thieves - Tale of Gnomes,100,TrolleyBuzz LLC,TrolleyBuzz LLC,4726,795,0,2,312,79.5,496.12
,,,,,,,,,,
Aurora Trail,82,Screenhit Studios,Screenhit Studios,18905,7614,2888,12.25,-1,0,-1
,,,,,,,,,,
GOKEN,28,GIANTY Inc.,GIANTY Inc.,2868,2085,0,2.33,-1,0,-1
,,,,,,,,,,
Racket: Nx,99,"One Hamsa, Waves Audio",Keshet International Gaming,6517,6256,0,91.67,43,70,3008.33
,,,,,,,,,,
These nights in Cairo,92,salamandra88,7DOTS,3676,2626,1184,22,20,21.33,78.37
,,,,,,,,,,
Flyhunter Origins,100,Steel Wool Games,Ripstone,2888,2101,0,7,49,101.09,609.92
,,,,,,,,,,
HEXOPODS,,Florent Vieillescazes,Florent Vieillescazes,2085,0,0,0,86,0,-1
,,,,,,,,,,
Finnish Roller,,Tero Lunkka,Tero Lunkka,247649,230704,9385,2,101,66.25,4.52
,,,,,,,,,,
Sid Meier's Starships,6,Firaxis Games,2K,305627,166992,1838,0.82,129,84.36,0.04
,,,,,,,,,,
Interstellar Transport Company,71,MT Worlds,MT Worlds,8665,8402,784,8.27,43,42.67,267.59
,,,,,,,,,,
Jagged Alliance 1: Gold Edition,65,"Sir-Tech, Madlab Software",THQ Nordic,38860,7352,785,7,42,64.35,16.84
,,,,,,,,,,
Acaratus,25,Nodbrim Interactive,Nodbrim Interactive,788,788,790,2.18,79,105.83,3321.34
,,,,,,,,,,
Trucker,3,Play Publishing,Play Publishing,1825,1569,0,0.52,108,123.67,996.15
,,,,,,,,,,
,82,,,7089,5514,0,11.5,407,0,-1
,,,,,,,,,,
They Bleed Pixels,62,Spooky Squid Games Inc.,Spooky Squid Games Inc.,273456,186128,1825,6.6,24,46.67,4.89
,,,,,,,,,,
Relic Keepers,,Idea Cabin,Idea Cabin,795,0,0,0,108,46,0
,,,,,,,,,,
VR Boxing Workout,,Wenkly Studio Sp. z o.o.,Wenkly Studio Sp. z o.o.,789,784,0,0.5,108,67.57,351.05
,,,,,,,,,,
All Cows In,,Hedgehog Game Studios,Hedgehog Game Studios,795,0,0,0,-1,0,-1
,,,,,,,,,,
Unfair Jousting Fair,44,Rodaja,Rodaja,1578,1589,0,3.8,108,98.25,25.38
,,,,,,,,,,
Zombie Camp,28,Void Dimensions,Void Dimensions,10427,7038,0,2.33,410,37.75,260.02
,,,,,,,,,,
Hauntsters,100,Shark Tree Studios,Shark Tree Studios,3389,778,0,3,473,0,-1
,,,,,,,,,,
Advent Rising,40,GlyphX Games,Majesco,55525,32325,0,3.48,226,91.83,398.67
,,,,,,,,,,
Medal of Honor,27,Electronic Arts,Electronic Arts,1617538,620425,4692,2.23,79,93.37,263.64
,,,,,,,,,,
Razortron 2000,71,NukGames,NukGames,59865,38597,2363,8.61,12,39.64,46.58
,,,,,,,,,,
MOAI: Build Your Dream,44,"Alawar Entertainment, Toyman Interactive",Buka Entertainment,14704,10765,790,3.96,79,66.87,102.09
,,,,,,,,,,
Rodina,86,Elliptic Games,Elliptic Games,42491,40667,1043,14.8,-1,0,-1
,,,,,,,,,,
Wasteland Angel,14,"Octane Games, Meridian4",Meridian4,119653,23722,785,1.41,108,62.31,11.9
,,,,,,,,,,
Spectre,3,Proscenium,Proscenium,17592,1313,0,0.52,108,218.2,7465.25
,,,,,,,,,,
Othello,40,BlueLine Games,BlueLine Games,13653,10503,784,3.41,79,56.94,8.55
,,,,,,,,,,
Tank Defense Division,37,"Caleb Hooper, Christian Hooper",Red Tree Studios,1589,0,0,3,231,73,110.25
,,,,,,,,,,
Leviathan: Warships,9,Pieces Interactive,Paradox Interactive,274382,113954,784,1.01,108,66.21,81.43
,,,,,,,,,,
Toro,13,Recotechnology S.L.,Recotechnology S.L.,7820,1176,0,1.33,186,70.25,6.57
,,,,,,,,,,
Make a word!,47,Educational Games,Educational Games,788,0,0,4.2,49,35,0
,,,,,,,,,,
Flock VR,100,"Object Normal, Holojam","Object Normal, Holojam",3151,1589,0,5,-1,0,-1
,,,,,,,,,,
Dawn of H'btakh,,megaeggz,megaeggz,2607,0,0,0,43,50,288
,,,,,,,,,,
Purple Heart,,Artalasky,Artalasky,3938,785,0,0,73,0,-1
,,,,,,,,,,
Orc Assault,1,Ghost Machine,Ghost Machine,789,795,0,0.4,410,116.5,703.12
,,,,,,,,,,
Undead Blackout,1,Borderline Inappropriate Game Studios Ltd,Borderline Inappropriate Game Studios Ltd,795,0,0,0.33,108,133,60.5
,,,,,,,,,,
Urban Trial Freestyle,49,Tate Multimedia,Tate Multimedia,175440,135034,1564,4.33,228,98.57,111.85
,,,,,,,,,,
Miner Wars Arena,6,Keen Software House,Keen Software House,27893,4171,0,0.82,735,106.82,550.52
,,,,,,,,,,
GRUZCHIK,9,NDPendent Games,"BadDoge, NDPendent Games",96362,89535,789,1,85,82.33,202.81
,,,,,,,,,,
Coffin of Ashes,95,"Ladomu, Angels Blue Digital Entertainment, DigitalEZ",DigitalEZ,8140,5514,785,26.22,45,47.25,48.76
,,,,,,,,,,
Spaceport Hope,42,team BitClub,"team BitClub , Sunken Treasure Games",139726,86286,1176,3.74,65,42,171
,,,,,,,,,,
Deceit,31,Automaton,Automaton,2407928,1738234,307867,2.63,-1,0,-1
,,,,,,,,,,
Terror Lab,24,Nicolas Bernard,Microids Indie,8140,784,0,2.09,108,98.33,143.41
,,,,,,,,,,
Space Hero Line,,Oriplay,"Cristian Manolachi, Atomic Fabrik",5514,784,0,0,85,78,0
,,,,,,,,,,
Mekazoo,47,The Good Mood Creators,The Good Mood Creators,4171,3650,785,4,79,167.5,120.12
,,,,,,,,,,
The Samaritan Paradox,39,Faravid Interactive,Screen 7,48575,24156,790,3.17,158,77,14.06
,,,,,,,,,,
Bless Online,,NEOWIZ BLESS STUDIO,NEOWIZ,785,0,0,0,-1,0,-1
,,,,,,,,,,
Go! Go! Radio : 8-Bit Edition,,Bacq Stellan,OtakuMaker SARL,1589,795,0,0,-1,0,-1
,,,,,,,,,,
Night Trap - 25th Anniversary Edition,47,Screaming Villains,Screaming Villains,2607,1561,0,4.25,-1,0,-1
,,,,,,,,,,
Boom-Bahh,13,oblomysh,oblomysh,44374,7089,1570,1.28,134,0,-1
,,,,,,,,,,
GASP,0,Dark Day Interactive,Dark Day Interactive,226857,109490,784,0.24,-1,0,-1
,,,,,,,,,,
Maggie's Apartment,95,"Anatola Howard, Duncan Cross",Anatola Howard,1050,1176,0,27.33,-1,0,-1
,,,,,,,,,,
Sniper Elite: Nazi Zombie Army,65,Rebellion,Rebellion,498426,450460,3650,7.22,44,53.55,0.2
